Date, Open, High, Low, Close, Volume
08/09/24, 14.80, 15.00, 14.75, 14.80, 1643200
08/08/24, 14.80, 14.90, 14.65, 14.75, 9072900
08/07/24, 14.85, 14.95, 14.50, 14.70, 3229000
08/06/24, 14.95, 15.00, 14.50, 14.85, 4266600
08/05/24, 15.00, 15.00, 14.20, 14.40, 12414600
08/02/24, 15.15, 15.35, 14.95, 15.05, 14638300
08/01/24, 15.80, 15.80, 15.10, 15.35, 1895000
07/31/24, 15.80, 16.00, 15.70, 15.90, 883400
07/30/24, 15.70, 16.50, 15.60, 16.00, 5675600
07/29/24, 15.45, 16.00, 15.20, 15.30, 3487600
07/26/24, 15.50, 15.50, 15.05, 15.10, 25624900
07/25/24, 15.80, 15.95, 15.05, 15.55, 21303400
07/24/24, 16.20, 16.20, 15.55, 15.95, 5218800
07/23/24, 16.30, 16.30, 16.00, 16.15, 6812200
07/22/24, 16.45, 16.45, 16.20, 16.20, 5541900
07/19/24, 16.45, 16.45, 16.30, 16.40, 432500
07/18/24, 16.80, 16.90, 16.30, 16.45, 1016500
07/17/24, 17.00, 17.00, 16.60, 16.75, 1146200
07/16/24, 17.05, 17.15, 16.95, 17.00, 928800
07/15/24, 17.05, 17.15, 16.95, 17.00, 11160600
07/12/24, 17.05, 17.15, 17.05, 17.05, 6048400
07/11/24, 17.00, 17.20, 17.00, 17.05, 6594100
07/10/24, 17.25, 17.30, 16.90, 17.10, 1644600
07/09/24, 17.35, 17.50, 17.20, 17.30, 2397400
07/08/24, 17.30, 17.50, 17.20, 17.30, 5022400
07/05/24, 17.10, 17.50, 17.10, 17.30, 2170700
07/04/24, 17.80, 17.80, 17.10, 17.20, 5027500
07/03/24, 17.40, 17.50, 17.30, 17.35, 6918000
07/02/24, 17.50, 17.70, 17.30, 17.40, 5078000
07/01/24, 17.30, 17.80, 17.30, 17.45, 1359700
06/28/24, 17.00, 17.60, 16.80, 17.30, 6538000
06/27/24, 17.80, 17.80, 16.95, 17.20, 3790800
06/26/24, 18.05, 18.05, 17.60, 17.85, 15357100
06/25/24, 18.10, 18.50, 17.95, 18.05, 2368100
06/24/24, 18.20, 18.30, 17.95, 18.10, 2153700
06/21/24, 18.55, 18.55, 18.05, 18.15, 3081600
06/20/24, 18.50, 18.80, 18.50, 18.70, 6462600
06/19/24, 18.35, 18.70, 18.05, 18.50, 4109900
06/18/24, 18.20, 18.45, 18.10, 18.30, 1250100
06/14/24, 18.35, 18.35, 18.10, 18.20, 241300
06/13/24, 18.10, 18.25, 18.00, 18.10, 7702600
06/12/24, 18.15, 18.20, 18.00, 18.10, 8259700
06/11/24, 18.15, 18.15, 18.00, 18.05, 9094600
06/10/24, 18.35, 18.35, 18.00, 18.10, 270300
06/07/24, 18.35, 18.35, 18.25, 18.35, 3250900
06/06/24, 18.05, 18.70, 18.00, 18.35, 4895200
06/05/24, 18.05, 18.20, 18.00, 18.05, 5474800
06/04/24, 18.00, 18.15, 18.00, 18.00, 3279500
06/03/24, 18.20, 18.50, 17.95, 18.00, 6821200
05/31/24, 18.20, 18.20, 17.85, 17.90, 12864800
05/30/24, 18.35, 18.35, 18.00, 18.05, 11478800
05/29/24, 18.75, 18.75, 18.05, 18.35, 18215900
05/28/24, 17.70, 18.70, 17.70, 18.50, 30893801
05/27/24, 17.70, 18.00, 17.70, 17.80, 775800
05/24/24, 17.90, 18.00, 17.50, 17.75, 8426400
05/23/24, 18.70, 18.70, 17.85, 18.00, 13520200
05/22/24, 18.50, 19.05, 18.40, 18.90, 16527699
05/21/24, 18.00, 18.45, 18.00, 18.30, 5896900
05/20/24, 17.50, 18.15, 17.50, 17.95, 5743900
05/17/24, 17.35, 17.80, 17.25, 17.40, 667900
05/16/24, 17.30, 17.35, 17.00, 17.25, 526000
05/15/24, 17.10, 17.35, 17.00, 17.25, 5723200
05/14/24, 17.50, 17.75, 17.05, 17.35, 2381100
05/13/24, 16.55, 17.85, 16.55, 17.35, 1325500
05/09/24, 16.50, 17.40, 16.00, 16.50, 2783300
05/08/24, 15.80, 17.00, 15.75, 15.95, 7641200
05/07/24, 15.80, 15.85, 15.50, 15.65, 5009400
05/06/24, 15.95, 15.95, 15.70, 15.75, 898500
05/03/24, 16.00, 16.00, 15.85, 15.95, 1483800
05/02/24, 15.95, 16.20, 15.90, 16.00, 1898700
04/30/24, 16.00, 16.00, 15.75, 15.95, 616000
04/29/24, 16.25, 16.30, 15.75, 16.00, 4777400
04/26/24, 16.50, 16.50, 16.20, 16.30, 1809200
04/25/24, 16.30, 16.50, 16.20, 16.35, 3116100
04/24/24, 16.25, 16.80, 16.20, 16.35, 912400
04/23/24, 16.10, 17.00, 16.05, 16.25, 5562200
04/22/24, 16.00, 16.30, 16.00, 16.10, 426400
04/19/24, 16.50, 16.50, 15.90, 16.00, 11548000
04/18/24, 16.80, 16.90, 16.30, 16.35, 1278400
04/17/24, 16.95, 16.95, 16.00, 16.75, 10621700
04/16/24, 17.45, 17.50, 16.90, 16.95, 941100
04/15/24, 17.05, 17.30, 17.00, 17.05, 5336200
04/12/24, 16.50, 17.20, 16.50, 16.95, 3761800
04/11/24, 16.65, 16.75, 16.50, 16.65, 4093000
04/09/24, 17.00, 17.00, 16.30, 16.65, 8563600
04/08/24, 17.50, 17.50, 16.50, 16.80, 6289300
04/05/24, 17.70, 18.05, 17.00, 17.55, 5390900
04/04/24, 17.50, 17.85, 17.50, 17.70, 6958200
04/03/24, 17.50, 18.00, 17.50, 18.00, 16829500
04/02/24, 17.40, 18.20, 16.50, 17.55, 7807300
03/28/24, 19.00, 19.50, 17.40, 17.75, 13614000
03/27/24, 20.50, 21.15, 18.15, 19.30, 7005400
03/26/24, 18.30, 19.35, 18.00, 19.25, 5313500
03/25/24, 16.80, 18.15, 16.80, 17.60, 104525297
03/22/24, 16.75, 17.20, 16.30, 16.75, 20780000
03/21/24, 15.70, 16.85, 15.70, 16.15, 6160500
03/20/24, 14.90, 15.85, 14.90, 15.40, 5257500
03/19/24, 14.70, 15.00, 14.55, 14.80, 3772800
03/18/24, 15.00, 15.40, 14.30, 14.60, 9307800
03/15/24, 15.50, 15.85, 14.85, 15.20, 2631200
03/14/24, 14.70, 15.20, 14.60, 15.00, 42418699
03/13/24, 14.65, 14.65, 14.50, 14.60, 37153102
03/12/24, 14.20, 14.70, 14.20, 14.50, 23289699
03/11/24, 14.05, 14.25, 14.00, 14.15, 1723000
03/08/24, 13.90, 14.10, 13.80, 13.90, 10298300
03/07/24, 13.90, 13.90, 13.75, 13.90, 1017300
03/06/24, 13.60, 13.90, 13.60, 13.75, 1544400
03/05/24, 13.60, 13.80, 13.50, 13.50, 10095000
03/04/24, 13.80, 14.80, 13.40, 13.50, 2195300
03/01/24, 13.35, 13.90, 13.30, 13.50, 11252100
02/29/24, 13.45, 13.45, 13.15, 13.25, 5538200
02/28/24, 13.60, 13.60, 13.30, 13.50, 13609500
02/27/24, 13.80, 13.80, 13.50, 13.65, 5063800
02/26/24, 13.35, 14.00, 13.35, 13.75, 2030600
02/23/24, 13.70, 13.70, 13.35, 13.40, 1801500
02/22/24, 13.40, 13.50, 13.30, 13.40, 19041801
02/21/24, 13.50, 13.90, 13.00, 13.40, 4540900
02/20/24, 13.60, 13.60, 13.35, 13.50, 494000
02/19/24, 13.20, 13.50, 13.10, 13.40, 480600
02/16/24, 13.40, 13.50, 12.95, 13.10, 11761400
02/15/24, 13.15, 13.45, 13.00, 13.05, 14330200
02/14/24, 13.20, 13.35, 12.95, 13.00, 1334300
02/13/24, 13.00, 13.30, 13.00, 13.20, 22076600
02/12/24, 13.20, 13.45, 13.00, 13.20, 242400
02/09/24, 13.20, 13.20, 12.95, 13.05, 4896800
02/08/24, 13.40, 13.40, 13.00, 13.20, 1845800
02/07/24, 13.45, 13.45, 13.00, 13.15, 1425100
02/06/24, 13.45, 13.50, 13.40, 13.45, 7787100
02/05/24, 13.50, 13.50, 13.35, 13.45, 7576000
02/02/24, 13.70, 13.75, 13.40, 13.50, 6246000
02/01/24, 13.90, 13.90, 13.35, 13.50, 4667900
01/31/24, 13.75, 13.90, 13.50, 13.60, 3222700
01/30/24, 13.50, 13.70, 13.50, 13.55, 5800700
01/29/24, 13.00, 13.45, 13.00, 13.10, 4917900
01/26/24, 13.50, 13.50, 12.95, 13.10, 928000
01/25/24, 13.50, 13.50, 13.20, 13.45, 2189800
01/24/24, 13.95, 13.95, 13.40, 13.60, 1912400
01/23/24, 13.75, 13.95, 13.70, 13.80, 316400
01/22/24, 13.95, 13.95, 13.80, 13.90, 2946700
01/19/24, 13.95, 14.00, 13.75, 13.95, 11829000
01/18/24, 14.00, 14.00, 13.90, 13.95, 1274700
01/17/24, 14.20, 14.20, 13.85, 14.00, 5351600
01/16/24, 13.90, 14.10, 13.80, 13.90, 2446300
01/15/24, 13.90, 14.10, 13.65, 13.90, 407100
01/12/24, 14.10, 14.10, 13.80, 13.90, 440300
01/11/24, 14.00, 14.00, 13.85, 13.90, 10658100
01/10/24, 13.60, 14.10, 13.60, 13.80, 4438100
01/09/24, 13.85, 14.10, 13.60, 13.65, 2192400
01/08/24, 13.70, 14.00, 13.60, 13.85, 248500
01/05/24, 13.80, 14.00, 13.55, 13.60, 5622200
01/04/24, 13.65, 13.80, 13.55, 13.60, 1000500
01/03/24, 13.90, 13.90, 13.60, 13.65, 1666700
01/02/24, 13.70, 13.95, 13.65, 13.75, 176500
12/29/23, 14.00, 14.00, 13.80, 13.90, 396700
12/28/23, 13.90, 14.10, 13.60, 13.70, 5262500
12/27/23, 13.55, 14.00, 13.50, 13.60, 14199200
12/22/23, 13.80, 13.80, 13.50, 13.55, 1740200
12/21/23, 13.80, 13.80, 13.50, 13.55, 5824300
12/20/23, 13.50, 13.80, 13.50, 13.50, 6908500
12/19/23, 13.90, 13.90, 13.40, 13.50, 11518300
12/18/23, 14.00, 14.00, 13.50, 13.85, 5857300
12/15/23, 14.40, 14.45, 13.70, 14.10, 753200
12/14/23, 14.45, 14.45, 14.20, 14.40, 6830400
12/13/23, 14.45, 14.50, 14.35, 14.45, 14879800
12/11/23, 14.55, 14.55, 14.35, 14.50, 1768900
12/08/23, 14.60, 14.60, 14.40, 14.55, 2899700
12/07/23, 14.90, 14.90, 14.40, 14.55, 1248800
12/06/23, 14.95, 15.10, 14.30, 14.60, 59683102
12/05/23, 14.55, 15.20, 14.50, 14.80, 8039500
12/04/23, 14.50, 14.55, 14.00, 14.50, 1972800
12/01/23, 14.20, 14.40, 14.00, 14.05, 1213300
11/30/23, 13.90, 14.45, 13.80, 14.05, 16439400
11/29/23, 14.00, 14.20, 13.75, 14.00, 9416400
11/28/23, 13.95, 14.40, 13.70, 14.00, 13252700
11/27/23, 13.75, 13.80, 13.35, 13.45, 2743600
11/24/23, 13.70, 13.75, 13.65, 13.70, 219500
11/23/23, 13.70, 13.70, 13.45, 13.60, 885500
11/22/23, 13.50, 14.00, 13.45, 13.70, 3260900
11/21/23, 13.50, 13.80, 13.30, 13.45, 4615700
11/20/23, 13.45, 13.50, 13.05, 13.40, 2454400
11/17/23, 13.50, 13.55, 13.05, 13.45, 7093700
11/16/23, 13.95, 14.00, 13.30, 13.50, 3915000
11/15/23, 13.95, 13.95, 13.45, 13.50, 6066600
11/14/23, 13.50, 14.00, 13.00, 13.30, 1883200
11/10/23, 13.50, 14.30, 13.30, 13.50, 59099801
11/09/23, 13.15, 13.75, 12.95, 13.30, 17306000
11/08/23, 12.15, 13.15, 12.15, 12.45, 371700
11/07/23, 12.00, 12.30, 11.80, 12.00, 12695600
11/06/23, 11.65, 12.05, 11.50, 11.95, 3796900
11/03/23, 12.00, 12.00, 11.50, 11.65, 5888700
11/02/23, 12.50, 12.50, 11.95, 12.10, 705400
11/01/23, 12.45, 12.50, 12.20, 12.30, 811900
10/31/23, 12.50, 12.50, 12.35, 12.45, 2338500
10/30/23, 12.50, 13.00, 12.45, 12.50, 14855700
10/27/23, 12.70, 13.30, 12.50, 12.50, 72111602
10/26/23, 12.50, 12.70, 12.40, 12.45, 6886500
10/25/23, 12.90, 13.00, 12.30, 12.50, 8052800
10/24/23, 13.75, 13.75, 12.70, 13.00, 1458400
10/23/23, 13.90, 13.90, 13.00, 13.60, 11962300
10/19/23, 13.80, 13.80, 13.70, 13.80, 6356700
10/18/23, 13.70, 13.95, 13.65, 13.80, 10979700
10/17/23, 14.00, 14.00, 13.65, 13.80, 504600
10/16/23, 14.00, 14.20, 13.80, 13.95, 1711200
