Date,Mean
29-12-2023,156.4618
28-12-2023,156.0941
27-12-2023,155.4706
22-12-2023,155.0853
21-12-2023,154.6853
20-12-2023,154.3868
19-12-2023,154.1647
18-12-2023,153.7794
15-12-2023,153.7382
14-12-2023,153.3735
13-12-2023,153.3471
11-12-2023,153.3412
08-12-2023,153.3382
07-12-2023,153.3235
06-12-2023,153.2882
05-12-2023,153.2765
04-12-2023,153.2412
01-12-2023,153.2353
30-11-2023,153.15
29-11-2023,153.0618
28-11-2023,152.9706
27-11-2023,152.9029
24-11-2023,152.8147
23-11-2023,152.6912
22-11-2023,152.5529
21-11-2023,152.4471
20-11-2023,152.3382
17-11-2023,152.2265
16-11-2023,152.1088
15-11-2023,151.9353
14-11-2023,151.8382
10-11-2023,151.6794
09-11-2023,151.5324
08-11-2023,151.3794
07-11-2023,151.2676
06-11-2023,151.1647
03-11-2023,151.0588
02-11-2023,150.8588
01-11-2023,150.7029
31-10-2023,150.5588
30-10-2023,150.4588
27-10-2023,150.3618
26-10-2023,150.2735
25-10-2023,150.1706
24-10-2023,150.0735
23-10-2023,149.9441
19-10-2023,149.7882
18-10-2023,149.5824
17-10-2023,149.4382
16-10-2023,149.2706
13-10-2023,149.1324
12-10-2023,149.0059
11-10-2023,148.8824
09-10-2023,148.7941
06-10-2023,148.6882
05-10-2023,148.5647
04-10-2023,148.45
03-10-2023,148.3176
02-10-2023,148.2015
29-09-2023,148.1
28-09-2023,147.9412
27-09-2023,147.8088
26-09-2023,147.6412
25-09-2023,147.4706
22-09-2023,147.3559
21-09-2023,147.2647
20-09-2023,147.1412
19-09-2023,147.0059
18-09-2023,146.9059
15-09-2023,146.7918
14-09-2023,146.6588
13-09-2023,146.4912
12-09-2023,146.3618
11-09-2023,146.2206
08-09-2023,146.1353
07-09-2023,146.0412
06-09-2023,145.9147
05-09-2023,145.7559
04-09-2023,145.6324
01-09-2023,145.5088
31-08-2023,145.4059
30-08-2023,145.2618
29-08-2023,145.15
28-08-2023,144.9941
25-08-2023,144.8735
24-08-2023,144.7176
23-08-2023,144.5559
22-08-2023,144.4059
21-08-2023,144.3176
18-08-2023,144.1824
17-08-2023,144.0441
16-08-2023,143.9088
15-08-2023,143.7588
14-08-2023,143.6088
11-08-2023,143.5765
10-08-2023,143.4441
09-08-2023,143.2735
08-08-2023,143.1176
07-08-2023,142.9882
04-08-2023,142.8868
03-08-2023,142.7765
02-08-2023,142.6412
01-08-2023,142.5265
31-07-2023,142.3647
28-07-2023,142.2971
27-07-2023,142.2
26-07-2023,142.1176
25-07-2023,141.9985
24-07-2023,141.8426
21-07-2023,141.7747
20-07-2023,141.6971
19-07-2023,141.5912
18-07-2023,141.4971
17-07-2023,141.4412
14-07-2023,141.3824
13-07-2023,141.2853
12-07-2023,141.2088
11-07-2023,141.0647
10-07-2023,140.9853
07-07-2023,140.9206
06-07-2023,140.7824
05-07-2023,140.7235
04-07-2023,140.6735
03-07-2023,140.5735
30-06-2023,140.5235
29-06-2023,140.45
27-06-2023,140.4441
26-06-2023,140.4412
23-06-2023,140.4029
22-06-2023,140.3059
21-06-2023,140.2
20-06-2023,140.1206
19-06-2023,140.0412
16-06-2023,139.8706
15-06-2023,139.7118
14-06-2023,139.6276
13-06-2023,139.4776
12-06-2023,139.35
09-06-2023,139.2235
08-06-2023,139.1124
07-06-2023,138.9676
06-06-2023,138.8735
05-06-2023,138.7559
02-06-2023,138.6088
31-05-2023,138.4912
30-05-2023,138.4176
29-05-2023,138.3324
26-05-2023,138.2529
25-05-2023,138.1324
24-05-2023,137.9559
23-05-2023,137.7618
22-05-2023,137.6265
19-05-2023,137.4912
18-05-2023,137.3735
17-05-2023,137.2382
16-05-2023,137.1029
15-05-2023,136.9794
12-05-2023,136.8765
11-05-2023,136.7912
10-05-2023,136.6765
09-05-2023,136.5853
08-05-2023,136.4676
05-05-2023,136.3971
04-05-2023,136.2618
03-05-2023,136.1529
02-05-2023,136.0176
28-04-2023,135.9118
27-04-2023,135.8324
26-04-2023,135.6588
25-04-2023,135.4824
24-04-2023,135.3147
20-04-2023,135.1912
19-04-2023,134.9735
18-04-2023,134.7382
17-04-2023,134.5676
14-04-2023,134.3529
13-04-2023,133.9529
12-04-2023,133.7235
11-04-2023,133.5882
06-04-2023,133.3
05-04-2023,132.9412
04-04-2023,132.6735
03-04-2023,132.5206
31-03-2023,132.3324
30-03-2023,132.1265
29-03-2023,131.7765
28-03-2023,131.5294
27-03-2023,131.3971
24-03-2023,131.2735
23-03-2023,130.9941
22-03-2023,130.6176
21-03-2023,130.3206
20-03-2023,130.0088
17-03-2023,129.8824
16-03-2023,129.7618
15-03-2023,129.5882
14-03-2023,129.4529
13-03-2023,129.2412
10-03-2023,128.8882
09-03-2023,128.5912
08-03-2023,128.3618
07-03-2023,128.1088
06-03-2023,127.7559
03-03-2023,127.5441
02-03-2023,127.2941
01-03-2023,127.0794
28-02-2023,126.8529
27-02-2023,126.6147
24-02-2023,126.4294
23-02-2023,126.2676
22-02-2023,126.0794
21-02-2023,125.9353
20-02-2023,125.7706
17-02-2023,125.6265
16-02-2023,125.5235
15-02-2023,125.3824
14-02-2023,125.2735
13-02-2023,125.1882
10-02-2023,125.0765
09-02-2023,124.9824
08-02-2023,124.8794
07-02-2023,124.8
06-02-2023,124.6618
03-02-2023,124.5941
02-02-2023,124.5235
01-02-2023,124.4765
31-01-2023,124.4029
30-01-2023,124.3912
27-01-2023,124.35
26-01-2023,124.3
25-01-2023,124.2471
